# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,TABLE - 1: WATER QUALITY OF GROUND WATER IN ANDHRA PRADESH - 2017,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Faecal Coli,,,,,,,,
,,,,,,,,Conductivity,B.O.D.,,,,,Total Coli form,Nitrate-N + Nitrite-,,,,,
,,,"Temperature ⁰C ",,"pH ",,,,,,form,,,,,,,,,
Station,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(μmhos/cm),(mg/l),,,,,(MPN/100ml),,N (mg/l),,,,
,"Station Name ","State Name ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,(MPN/100ml),,,,,,,,,
"Code ",,,,,,,,,,,,,,,,,,,,
,,,"min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ",max,,,,
"3818 ","GROUND WATER FROM MALIGAON, GUWAHATI ","ASSAM ","26.0 ","26.0 ","7.3 ","7.3 ","280 ","280 ","1.0 ","1.0 ","2 ","2 ","2 ","2 ","0.30 ",0.30,,,,

,,TABLE - 3: WATER QUALITY OF GROUND WATER IN BIHAR - 2017,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Faecal Coli,,,,,,,,,,
,,,,,,,,ConductivityB.O.D.,,,Total Coli form,,Nitrate-N + Nitrite-,,,,,,,
,,,"Temperature ⁰C ",,"pH ",,,,form,,,,,,,,,,,
,,,,,,,,(μmhos/cm)(mg/l),,,(MPN/100ml),,,N (mg/l),,,,,,
"Station Code ","Station Name ","State Name ",,,,,,,,,,,,,,,,,,
,,,,,,,,,(MPN/100ml),,,,,,,,,,,
,,,"min ","max ","min ","max ","min ","max min max ","min ","max ","min ","max ","min ",max,,,,,,
"1825 ",BORE WELL WATER AT KATRA BAZAR WATER,"BIHAR ","26.0 ","30.0 ","8.1 ","8.7 ","446 ","449 ","2 ","2 ","2 ","2 ","0.00 ",0.00,,,,,,
,"TANK, MALSALAMI, PATNA",,,,,,,,,,,,,,,,,,,
"1826 ",BORE WELL WATER AT BHUT NATH ROAD WATER,"BIHAR ","26.0 ","32.0 ","7.8 ","8.0 ","455 ","456 ","2 ","2 ","2 ","2 ","0.00 ",0.00,,,,,,
,"TANK SEC-3, KANKARBAGH,PATNA",,,,,,,,,,,,,,,,,,,
"1827 ",TAP WATER COMING FROM OVER HEAD TANK,"BIHAR ","26.0 ","32.0 ","7.4 ","7.4 ","554 ","558 ","2 ","2 ","2 ","2 ","0.00 ",0.00,,,,,,
,"PMCH CAMPUS, PATNA",,,,,,,,,,,,,,,,,,,
"1828 ",BORE WELL WATER IN CAMPUS OF PATNA WATER,"BIHAR ","26.0 ","30.0 ","7.8 ","7.8 ","520 ","521 ","2 ","2 ","2 ","2 ","0.00 ",0.00,,,,,,
,"BOARD HEAD OFFICE, NEAR HIGH COURT, PATNA",,,,,,,,,,,,,,,,,,,
