# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,TABLE - 1: WATER QUALITY OF GROUND WATER IN ANDHRA PRADESH - 2019,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Total Coli,,Faecal Coli
,,,Temperature,,,Dissolved,,,,Conductivity,,,,Nitrate-N +,,,,
"2250 ",,"ASSAM ","24.0 ","29.0 ","0.0 ","0.0 ","7.1 ","7.3 ","164 ","364 ","1.3 ","1.9 ","1.00 ","1.30 ","2 ","2 ","2 ",2
,"NAGAON (PANIGAON), ASSAM ",,,,,,,,,,,,,,,,,
,GROUND WATER FROM,,,,,,,,,,,,,,,,,
2251,JAGIROAD NEAR HPC EFFLUENT,"ASSAM ","27.0 ","29.0 ","0.0 ","0.0 ","6.3 ","6.3 ","40 ","919 ","1.3 ","4.0 ","0.70 ","1.60 ","2 ","2 ","2 ",2
,"DISCHARGE POINT, ASSAM",,,,,,,,,,,,,,,,,
,GROUND WATER NEAR MSW,,,,,,,,,,,,,,,,,
2252,DUMPING SITE AT GARCHUK-,"ASSAM ","25.0 ","26.0 ","0.0 ","0.0 ","6.9 ","7.2 ","162 ","170 ","2.0 ","3.8 ","0.60 ","0.90 ","2 ","2 ","2 ",2
,"GUWAHATI, ASSAM",,,,,,,,,,,,,,,,,
,GROUND WATER FROM,,,,,,,,,,,,,,,,,
"2253 ",,"ASSAM ","26.0 ","29.0 ","0.0 ","0.0 ","6.8 ","7.8 ","171 ","301 ","1.2 ","4.2 ","0.60 ","1.10 ","2 ","2 ","2 ",2
,"NALBARI, ASSAM ",,,,,,,,,,,,,,,,,
,GROUND WATER FROM,,,,,,,,,,,,,,,,,
2254,"BARPETA ROAD(RLY STATION),","ASSAM ","28.0 ","28.0 ","0.0 ","0.0 ","7.0 ","7.6 ","264 ","364 ","1.3 ","1.4 ","0.80 ","0.90 ","2 ","2 ","2 ",2
,ASSAM,,,,,,,,,,,,,,,,,
,"GROUND WATER NEAR BPRL,",,,,,,,,,,,,,,,,,
"2255 ",,"ASSAM ","23.0 ","28.0 ","0.0 ","0.0 ","7.2 ","7.3 ","96 ","99 ","1.1 ","3.0 ","0.80 ","0.90 ","2 ","2 ","2 ",2
,"DHALIGAON, ASSAM ",,,,,,,,,,,,,,,,,
,GROUND WATER FROM,,,,,,,,,,,,,,,,,
2256,KOKRAJHAR DISTRICT (HS,"ASSAM ","26.0 ","29.0 ","0.0 ","0.0 ","6.5 ","7.1 ","168 ","268 ","1.1 ","1.2 ","1.00 ","1.10 ","2 ","2 ","2 ",2
,"SCHOOL ), ASSAM",,,,,,,,,,,,,,,,,
,GROUND WATER FROM DHUBRI,,,,,,,,,,,,,,,,,
2257,"DISTRICT (COLLEGE NAGAR ),","ASSAM ","28.0 ","30.0 ","0.0 ","0.0 ","7.0 ","7.0 ","180 ","280 ","1.3 ","1.7 ","1.00 ","1.00 ","2 ","2 ","2 ",2
,ASSAM,,,,,,,,,,,,,,,,,
,GROUND WATER FROM,,,,,,,,,,,,,,,,,
2258,GOALPARA DIST. (GOALPARA,"ASSAM ","25.0 ","29.0 ","0.0 ","0.0 ","7.0 ","7.7 ","201 ","299 ","1.3 ","2.0 ","1.00 ","1.20 ","2 ","2 ","2 ",2
,"COLLEGE ), ASSAM",,,,,,,,,,,,,,,,,
,GROUND WATER FROM DIPHU,,,,,,,,,,,,,,,,,
"2259 ",,"ASSAM ","20.0 ","27.0 ","0.0 ","6.5 ","7.2 ","8.1 ","56 ","739 ","1.2 ","4.0 ","1.10 ","2.00 ","2 ","730 ","2 ",2000
,"(GOVT. COLLEGE), ASSAM ",,,,,,,,,,,,,,,,,
,GROUND WATER FROM,,,,,,,,,,,,,,,,,
"2260 ",,"ASSAM ","23.0 ","24.0 ","0.0 ","0.0 ","5.8 ","6.2 ","90 ","152 ","1.0 ","1.6 ","0.80 ","1.60 ","2 ","2 ","2 ",2
,"HAMREN, ASSAM ",,,,,,,,,,,,,,,,,
,GROUND WATER FROM,,,,,,,,,,,,,,,,,
"2261 ",,"ASSAM ","20.0 ","21.0 ","0.0 ","0.0 ","6.7 ","7.2 ","116 ","126 ","1.2 ","1.3 ","0.80 ","0.80 ","2 ","2 ","2 ",2
,"HAFLONG, ASSAM ",,,,,,,,,,,,,,,,,
,GROUND WATER FROM,,,,,,,,,,,,,,,,,
"2262 ",,"ASSAM ","23.0 ","23.0 ","0.0 ","0.0 ","6.1 ","7.2 ","102 ","112 ","1.4 ","1.9 ","0.70 ","0.80 ","2 ","2 ","2 ",2
,"KARIMGANJ (COLLEGE), ASSAM ",,,,,,,,,,,,,,,,,
,GROUND WATER FROM,,,,,,,,,,,,,,,,,
2263,HIALAKANDI (NEAR ASTC BUS,"ASSAM ","23.0 ","24.0 ","0.0 ","0.0 ","6.4 ","6.4 ","186 ","196 ","1.2 ","1.3 ","0.70 ","0.90 ","2 ","2 ","2 ",2
